"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""1429"" 202301 2 2 31416 1 ""C"" 2 17 """" 9 2 2 NA NA NA 2 1 1 2 2 2 1 NA 1 NA NA 2 1 2 2 NA NA NA 2 1 1 1 1 2 1 1 1 3 2 2 3 3 NA NA NA NA NA NA 1 1 1 1 1 1 1 2 2 2 1 1 2 1 1 1 1 NA 1 2 NA 2 2 2 2 2 1 2 1 1 1 2 2 2 2 2 27 6 NA 6 5 2 1 NA 3 1 NA 2 3 1 6 2 2 NA 4 1 NA NA NA 1 2 """" """" 2 ""S"" 3 24 4 0 2 5 5 2 2 1 3 1 2 2 1 1 0.122724551995674"
"""1430"" 202312 2 2 31416 1 ""C"" 2 17 """" 9 1 2 NA NA NA 3 2 1 3 1 1 2 4 NA 1 2 NA NA 2 1 NA NA NA NA 1 1 4 4 4 2 1 4 4 1 3 2 3 3 9 3 1 3 3 NA NA NA NA NA NA 2 2 1 2 2 NA NA NA 2 2 2 1 NA 2 2 NA 4 NA NA NA 2 3 1 1 2 2 2 2 2 1 45 1 NA 8 5 NA 1 NA 4 6 NA NA 4 NA 2 3 2 NA 4 5 2 NA NA 2 1 """" """" 1 ""U"" 2 17 5 3 2 5 4 1 4 2 3 2 3 3 0 1 0.359571825224783"
"""1431"" 202313 2 2 31416 1 ""C"" 2 17 """" 9 1 2 NA NA NA 1 1 1 1 2 2 1 1 NA 1 1 NA NA 2 1 NA NA NA NA 1 1 1 1 1 1 1 3 2 2 2 2 2 1 1 1 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 1 1 1 NA 3 2 NA 4 NA NA NA 1 2 1 2 2 2 2 2 2 1 49 1 NA 6 5 NA 1 NA 1 10 NA NA 6 NA 9 1 2 NA 5 4 2 NA NA 2 1 """" """" 1 ""U"" 2 17 5 2 2 5 4 1 4 2 3 2 3 3 0 1 0.359571825224783"
"""1432"" 202315 2 2 50516 1 ""C"" 3 48 """" 2 2 2 NA NA NA 9 9 9 9 1 1 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 2 1 1 2 3 3 1 3 4 2 3 1 2 NA NA NA NA NA NA 1 3 9 3 3 3 2 2 2 2 2 NA NA NA 2 4 3 NA 9 3 NA 1 4 NA NA NA 1 2 4 3 4 2 2 2 2 2 73 1 NA 6 NA NA 5 NA 2 13 NA 1 9 NA 9 1 1 NA 1 2 2 NA NA 1 1 """" """" 1 ""R"" 3 48 1 0 1 1 2 1 6 4 3 2 2 2 1 1 0.935071871127497"
"""1433"" 202318 2 2 31816 1 ""C"" 3 48 """" 9 2 2 NA NA NA 1 2 1 2 2 3 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 2 1 1 1 2 1 1 2 3 2 3 1 2 NA NA NA NA NA NA 3 3 9 9 3 3 2 2 1 2 1 NA NA NA 1 1 2 NA 1 2 NA 1 4 NA NA NA 2 3 2 2 2 2 2 2 2 2 35 1 NA 8 5 NA 1 NA 2 1 NA 1 1 NA 8 1 3 2 2 6 2 NA NA 1 1 """" """" 1 ""S"" 3 48 4 4 2 3 5 1 3 2 3 2 2 2 1 1 0.359058121400295"
"""1434"" 202320 2 2 31416 1 ""C"" 2 55 """" 5 2 2 NA NA NA 3 2 2 3 1 2 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 1 1 2 2 1 1 1 1 2 3 3 3 3 NA NA NA NA NA NA 3 3 9 1 3 9 2 2 1 2 2 NA NA NA 1 1 1 NA 1 1 NA 1 4 NA NA NA 2 3 1 1 2 2 2 2 2 1 21 6 NA 4 2 NA 2 NA 4 12 NA NA 6 NA 6 1 2 NA 3 1 NA NA NA 2 1 """" """" 1 ""U"" 2 55 3 0 2 4 5 1 1 1 2 1 3 3 0 1 3.57299994964103"
"""1435"" 202321 2 2 31416 1 ""P"" 4 6 """" 10 1 2 NA NA NA 3 4 4 4 1 1 1 2 NA 1 1 NA NA 2 6 NA NA NA NA 1 2 1 2 2 2 1 2 3 3 1 1 2 3 3 3 1 3 1 NA NA NA NA NA NA 1 1 1 2 1 NA NA NA 1 1 1 3 NA 3 3 NA 4 NA NA NA 1 1 1 1 2 2 2 2 2 1 19 6 NA 3 5 NA 3 NA 5 11 2 NA 4 NA 6 1 3 2 4 2 2 NA NA 2 4 """" ""7TH DAY ADEVENTS"" 5 ""S"" 4 6 5 0 2 3 5 5 1 1 1 2 3 3 0 1 0.630873229407107"
"""1436"" 202324 2 2 31416 1 ""P"" 4 6 """" 5 1 2 NA NA NA 2 2 1 4 1 3 1 4 NA 2 3 NA NA 2 1 NA NA NA NA 2 1 1 1 2 1 1 3 4 3 1 1 9 3 9 3 1 3 3 NA NA NA NA NA NA 1 2 1 2 2 NA NA NA 1 1 1 2 NA 3 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 28 2 2 6 5 NA 2 NA 4 11 2 NA 4 NA 5 1 2 NA 4 3 2 NA NA 2 1 """" ""SPIRITUAL"" 1 ""S"" 4 6 1 1 2 5 5 1 2 1 3 2 3 3 0 1 2.29539106945686"
"""1437"" 202325 2 2 31416 1 ""P"" 4 6 """" 9 2 2 NA NA NA 3 2 1 3 3 2 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 1 2 2 1 2 1 2 NA NA 3 1 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 1 1 2 2 1 NA NA NA 4 1 3 NA 3 3 NA 3 1 NA NA NA 1 1 2 3 2 2 2 1 1 2 29 2 2 6 5 NA 3 NA 4 12 NA NA 5 NA 2 3 2 NA 4 3 2 NA NA 2 1 """" """" 1 ""S"" 3 51 3 1 2 5 5 1 2 1 3 2 3 3 0 1 0.551553959888154"
"""1438"" 202328 2 2 31416 1 ""P"" 4 6 """" 9 1 2 NA NA NA 2 1 1 2 2 2 3 2 NA 2 3 NA NA 1 7 NA NA NA NA 1 1 2 2 2 1 1 2 3 3 3 2 2 9 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 1 2 NA NA NA 1 2 1 1 NA 1 2 NA 4 NA NA NA 2 3 2 2 2 1 1 2 2 1 26 6 NA 6 4 NA 2 1 3 2 NA 2 3 NA 99 3 3 9 4 2 2 NA NA 2 3 """" """" 5 ""R"" 2 19 1 0 9 3 5 3 2 1 3 2 3 3 0 1 0.305922585949671"
"""1439"" 202331 2 2 31416 1 ""P"" 4 32 """" 5 2 2 NA NA NA 1 1 1 3 2 2 1 NA 3 NA NA 2 1 2 1 NA NA NA NA 4 NA 2 1 3 9 2 NA NA 2 1 3 2 NA NA NA NA NA NA 3 1 1 1 1 9 2 2 2 2 2 NA NA NA 1 1 1 NA 1 3 NA 2 4 NA NA NA 1 2 5 3 2 2 2 2 2 2 73 1 NA 8 NA NA 3 NA 3 12 NA NA 6 NA 7 1 2 NA 4 2 2 NA NA 2 1 """" """" 1 ""U"" 4 32 3 0 2 5 2 1 6 4 3 2 3 3 0 1 2.4834397496882"
"""1440"" 202333 2 2 40416 1 ""P"" 4 32 """" 7 2 2 NA NA NA 1 1 3 1 1 1 2 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 2 2 2 2 2 1 2 4 1 1 3 2 NA NA NA NA NA NA 3 3 2 1 2 3 2 2 2 2 1 NA NA NA 1 2 2 NA 1 1 NA 1 3 NA NA NA 1 3 3 2 2 2 2 2 2 1 38 3 NA 4 5 NA 1 NA 1 1 NA 1 1 NA 6 3 1 NA 2 2 1 NA NA 2 1 """" """" 1 ""S"" 4 32 2 1 1 1 4 1 3 2 2 1 3 3 0 1 1.84301949703348"
"""1441"" 202339 2 2 31416 1 ""P"" 4 6 """" 7 1 2 NA NA NA 1 2 1 9 2 4 2 4 NA 1 3 NA NA 2 3 NA NA NA NA 1 1 1 1 3 1 1 4 4 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 2 1 NA 2 9 NA 4 NA NA NA 1 2 1 2 2 2 2 2 2 2 18 6 NA 2 1 NA 3 NA 3 11 2 NA 2 NA 99 1 3 2 4 6 3 NA NA 2 4 """" ""SIKH"" 3 ""U"" 4 6 3 3 2 3 5 5 1 1 1 3 3 3 0 1 2.99677705664519"
"""1442"" 202348 2 2 32816 2 ""M"" 3 48 """" 10 2 2 NA NA NA 2 1 1 2 1 1 2 NA 2 NA NA 1 NA 1 7 NA NA NA NA 2 1 2 1 1 2 1 4 4 1 2 2 3 NA NA NA NA NA NA 3 3 3 1 3 3 2 2 2 2 2 NA NA NA 2 2 1 NA 1 1 NA 2 2 NA NA NA 3 NA NA NA 2 2 2 2 2 2 53 1 NA 3 5 NA 1 3 2 2 NA 2 5 NA 6 3 3 2 2 3 3 NA NA 1 3 """" """" 5 ""U"" 3 48 3 0 2 3 3 4 4 3 1 3 2 2 1 1 0.325155244436441"
"""1443"" 202367 2 2 31416 1 ""P"" 4 32 """" 5 1 2 NA NA NA 1 1 1 1 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 3 1 2 3 4 2 2 NA NA 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 3 4 2 3 NA 2 1 NA 4 NA NA NA 1 2 2 3 2 2 2 2 2 2 55 1 NA 6 5 NA 1 NA 2 1 NA 2 5 NA 9 1 1 NA 2 2 2 NA NA 1 1 """" """" 1 ""S"" 4 32 1 0 1 1 3 1 5 3 3 2 2 2 1 1 1.21488227682903"
"""1444"" 202371 2 2 31416 1 ""P"" 4 41 """" 4 2 2 NA NA NA 2 1 9 9 1 1 1 NA 4 NA NA 1 NA 2 1 NA NA NA NA 1 1 4 4 4 2 2 NA NA 3 3 1 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 4 4 3 NA 2 3 NA 1 4 NA NA NA 1 2 4 4 2 2 2 2 2 2 99 1 NA 4 NA NA 2 NA 3 1 NA 1 2 NA 99 1 1 NA 1 2 2 NA NA 1 1 """" """" 1 ""S"" 4 41 3 0 1 1 9 1 9 NA 2 2 2 2 1 1 2.66414776050418"
"""1445"" 202375 2 2 31416 1 ""P"" 4 6 """" 8 1 2 NA NA NA 1 1 1 1 2 3 3 3 NA 2 2 NA NA 2 5 NA NA NA NA 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 NA NA NA NA NA NA 2 1 1 2 1 NA NA NA 2 1 1 1 NA 1 1 NA 1 NA NA NA 1 1 1 1 1 2 1 1 1 1 20 6 NA 5 3 NA 1 NA 4 1 NA 1 2 NA 5 3 2 NA 5 3 2 NA NA 1 4 """" """" 5 ""S"" 4 6 2 1 2 5 5 5 1 1 2 2 2 2 1 1 1.11483995305303"
"""1446"" 202376 2 2 31416 1 ""P"" 4 6 """" 8 1 2 NA NA NA 2 1 2 1 2 2 1 2 NA 1 3 NA NA 2 3 NA NA NA NA 2 1 1 2 2 1 2 NA NA 1 2 3 2 1 3 1 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 1 1 NA 2 2 NA 2 NA NA NA 1 2 2 2 1 2 2 2 2 1 66 1 NA 8 NA NA 2 NA 2 1 NA 1 2 NA 6 1 3 2 4 5 4 NA NA 2 4 """" """" 3 ""S"" 4 6 5 1 2 3 3 5 6 4 3 3 3 3 0 1 0.907251187111037"
"""1447"" 202379 2 2 31416 1 ""P"" 4 6 """" 9 2 2 NA NA NA 1 9 1 2 1 4 2 NA 2 NA NA 2 2 2 2 NA NA NA 2 1 1 1 4 4 1 1 1 1 9 3 1 3 NA NA NA NA NA NA 3 3 1 1 1 3 2 2 2 2 2 2 2 1 1 1 3 NA 3 1 NA 3 4 4 4 2 1 1 2 2 1 2 1 2 1 2 33 6 NA 3 5 NA 1 NA 3 12 NA NA 5 3 6 1 3 2 2 4 1 NA NA 2 2 """" """" 2 ""S"" 4 6 4 3 2 3 5 2 2 2 1 1 3 3 0 1 0.634933152601462"
"""1448"" 202383 2 2 40816 1 ""C"" 3 48 """" 10 1 2 NA NA NA 2 2 1 2 2 1 1 2 NA 1 1 NA NA 1 7 NA NA NA NA 2 1 2 2 1 1 1 2 2 3 3 2 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 1 1 1 NA 1 1 NA 4 NA NA NA 1 1 1 2 2 2 2 2 2 2 36 1 NA 8 5 NA 1 3 5 9 NA NA 4 NA 6 3 2 NA 4 2 2 NA NA 1 3 """" """" 5 ""U"" 3 48 3 0 2 5 4 4 3 2 3 2 2 2 1 1 0.245917317827064"
"""1449"" 202390 2 2 31916 1 ""E"" 3 13 """" 10 1 2 NA NA NA 1 1 1 1 3 4 3 4 NA 1 3 NA NA 2 2 NA NA NA 1 1 1 3 4 1 4 2 NA NA 3 3 3 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 2 2 2 9 9 3 3 NA 3 9 NA 4 3 3 3 3 NA NA NA 2 2 2 2 2 1 42 4 NA 2 5 NA 1 NA 3 13 NA 1 2 9 2 3 1 NA 4 5 5 NA NA 2 2 """" """" 2 ""U"" 3 13 2 0 1 2 4 2 3 2 1 3 3 3 0 1 0.262295790693859"
"""1450"" 202394 2 2 31516 1 ""C"" 3 22 """" 8 2 2 NA NA NA 1 1 1 1 1 3 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 1 1 3 2 4 2 1 3 4 3 2 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 2 2 1 NA 3 1 NA 3 2 NA NA NA 1 4 4 4 2 2 2 2 1 1 45 3 NA 3 5 NA 1 NA 2 2 NA 2 3 NA 8 1 3 1 2 3 1 NA NA 2 1 """" """" 1 ""S"" 3 22 2 2 1 3 4 1 4 2 1 1 3 3 0 1 1.09799194765171"
"""1451"" 202396 2 2 31516 1 ""E"" 1 36 """" 10 2 2 NA NA NA 3 4 3 3 1 1 1 NA 1 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 4 1 2 1 3 4 1 3 9 2 NA NA NA NA NA NA 3 3 3 1 1 3 1 1 1 1 1 NA NA NA 1 1 1 NA 1 1 NA 1 1 NA NA NA 2 2 1 3 2 2 2 2 1 1 21 4 NA 4 5 NA 2 NA 4 2 NA 2 4 NA 6 1 2 NA 5 2 2 NA NA 2 1 """" """" 1 ""S"" 1 36 5 0 2 5 5 1 1 1 2 2 3 3 0 1 0.598276058116846"
"""1452"" 202398 2 2 31516 1 ""E"" 3 10 """" 5 1 2 NA NA NA 1 1 1 1 2 2 1 2 NA 2 3 NA NA 2 1 NA NA NA NA 1 1 2 1 2 1 2 NA NA 3 1 2 2 1 1 1 1 1 1 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 1 1 1 NA 3 3 NA 4 NA NA NA 2 3 1 2 2 2 2 2 2 2 54 1 NA 6 5 NA 3 NA 3 12 NA NA 6 NA 99 1 3 2 2 2 2 NA NA 1 1 """" """" 1 ""R"" 3 10 2 0 2 3 3 1 4 3 3 2 2 2 1 1 1.4763108939041"
"""1453"" 202400 2 2 32816 2 ""C"" 3 48 """" 10 2 2 NA NA NA 1 2 2 2 2 3 3 NA 2 NA NA 2 1 1 1 NA NA NA NA 4 NA 2 2 2 2 2 NA NA 3 3 2 1 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 2 NA NA NA 2 2 2 NA 2 3 NA 3 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 43 1 NA 2 5 NA 1 3 4 2 NA 2 1 NA 2 1 1 NA 2 6 3 NA NA 2 3 """" """" 1 ""S"" 3 48 3 3 1 1 4 4 3 2 1 3 3 3 0 1 0.547390473550996"
"""1454"" 202401 2 2 31516 1 ""C"" 2 17 """" 9 1 2 NA NA NA 2 1 1 2 1 1 1 3 NA 2 2 NA NA 2 1 NA NA NA NA 4 NA 2 4 4 9 2 NA NA 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 4 3 3 NA 1 1 NA 4 NA NA NA 2 3 4 2 4 2 2 2 3 2 73 1 NA 3 NA NA 5 NA 3 2 NA 2 2 NA 6 1 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""U"" 2 17 5 0 1 2 2 1 6 4 1 2 2 2 1 1 0.694958846820649"
"""1455"" 202408 2 2 31516 1 ""E"" 3 11 """" 10 2 2 NA NA NA 1 1 1 1 1 1 2 NA 2 NA NA 2 1 1 2 NA NA NA NA 2 1 1 2 3 1 1 2 4 1 3 2 2 NA NA NA NA NA NA 1 1 1 1 1 3 2 2 2 2 2 NA NA NA 1 2 1 NA 3 2 NA 2 2 NA NA NA 2 4 5 9 1 2 2 2 2 2 38 6 NA 6 4 NA 1 1 3 2 NA 2 2 NA 7 1 3 1 2 3 3 NA NA 2 3 """" """" 2 ""S"" 3 48 2 0 1 3 4 3 3 2 3 3 3 3 0 1 0.342101224676274"
"""1456"" 202409 2 2 31616 1 ""E"" 3 12 """" 10 1 2 NA NA NA 3 1 1 4 3 4 2 4 NA 1 1 NA NA 2 2 NA NA NA 1 2 2 2 1 2 1 2 NA NA 3 3 2 2 3 3 3 1 3 3 NA NA NA NA NA NA 1 1 2 1 2 2 2 1 1 2 1 1 NA 1 1 NA 2 1 1 1 1 1 2 1 2 2 2 2 2 1 59 3 NA 3 5 NA 3 NA 5 1 NA 2 2 2 2 1 3 2 4 4 3 NA NA 2 2 """" """" 2 ""U"" 3 12 4 1 2 3 3 2 5 3 1 3 3 3 0 1 0.145578828110778"
"""1457"" 202413 2 2 31516 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 2 2 3 2 4 1 3 NA 1 1 NA NA 2 2 NA NA NA 4 1 1 1 2 2 9 1 2 4 1 3 3 2 3 3 3 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 1 2 1 3 2 2 1 NA 1 2 NA 4 2 9 3 1 4 3 2 3 2 2 2 2 1 33 1 NA 8 5 2 1 NA 3 1 NA 1 2 1 8 3 3 9 2 4 2 NA NA 2 2 """" """" 2 ""U"" 3 48 5 2 9 3 5 2 2 2 3 2 3 3 0 1 0.140330997830588"
"""1458"" 202414 2 2 31516 1 ""C"" 3 48 """" 10 2 2 NA NA NA 2 1 1 3 1 1 1 NA 4 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 2 4 1 1 3 4 3 3 1 2 NA NA NA NA NA NA 3 3 3 3 3 3 2 1 2 2 1 NA NA NA 2 4 3 NA 1 3 NA 1 4 NA NA NA 1 4 4 4 2 2 2 2 2 2 48 1 NA 6 5 NA 1 NA 3 1 NA 2 4 NA 7 1 1 NA 2 5 2 NA NA 1 1 """" """" 1 ""U"" 3 48 4 3 1 1 4 1 4 2 3 2 2 2 1 1 0.250077583648426"
"""1459"" 202415 2 2 31516 1 ""E"" 3 47 """" 1 2 2 NA NA NA 2 1 2 2 2 1 1 NA 1 NA NA 2 2 2 1 NA NA NA NA 1 1 1 1 2 1 2 NA NA 3 3 2 2 NA NA NA NA NA NA 3 3 1 2 1 3 2 2 2 2 1 NA NA NA 2 1 1 NA 1 3 NA 1 4 NA NA NA 1 1 1 2 2 2 2 2 3 2 67 1 NA 4 NA NA 5 NA 3 1 NA 1 5 NA 6 1 2 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 3 47 2 0 2 4 3 1 6 4 2 2 2 2 1 1 1.49351553966621"
"""1460"" 202418 2 2 31516 1 ""C"" 3 48 """" 10 2 2 NA NA NA 2 1 2 2 1 2 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 2 2 2 1 3 1 1 3 3 2 2 3 2 NA NA NA NA NA NA 1 3 1 1 1 3 2 2 2 2 2 NA NA NA 2 1 1 NA 1 3 NA 2 4 NA NA NA 1 2 2 2 1 2 2 2 2 1 66 1 NA 3 NA NA 3 NA 3 2 NA 2 3 NA 6 1 2 NA 5 2 2 NA NA 2 1 """" """" 1 ""S"" 3 48 2 0 2 5 3 1 6 4 1 2 3 3 0 1 0.436405611842697"
"""1461"" 202428 2 2 31516 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 1 1 3 2 1 2 1 NA 2 3 NA NA 1 7 NA NA NA NA 3 2 2 2 4 2 1 3 3 1 2 1 3 1 1 3 1 1 1 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 1 2 2 1 NA 1 3 NA 1 NA NA NA 3 NA NA NA 2 2 1 1 1 1 48 1 NA 4 5 NA 1 1 4 2 NA 2 2 NA 8 1 1 NA 3 3 2 NA NA 2 3 """" """" 5 ""S"" 3 48 2 1 1 2 4 3 4 2 2 2 3 3 0 1 0.773759459986378"
"""1462"" 202429 2 2 31516 1 ""C"" 2 29 """" 7 1 2 NA NA NA 2 1 1 2 2 2 1 2 NA 1 3 NA NA 2 1 NA NA NA NA 2 2 2 4 4 1 1 2 4 2 2 1 3 3 3 9 1 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 4 2 1 NA 3 1 NA 4 NA NA NA 2 4 5 3 2 2 2 2 2 1 69 5 NA 6 NA NA 2 NA 3 1 NA 2 2 NA 4 1 1 NA 2 4 3 NA NA 2 1 """" """" 1 ""U"" 2 20 4 1 1 1 3 1 6 4 3 3 3 3 0 1 0.764767927342875"
"""1463"" 202434 2 2 31516 1 ""E"" 3 13 """" 10 2 2 NA NA NA 2 2 3 4 2 4 1 NA 3 NA NA 1 NA 2 2 NA NA NA 1 2 1 2 2 3 2 1 4 3 1 1 2 2 NA NA NA NA NA NA 1 3 1 1 1 3 1 1 1 2 1 1 1 1 2 2 1 NA 1 3 NA 1 2 2 3 3 1 3 3 3 2 2 2 1 2 1 42 6 NA 6 5 2 3 NA 4 1 NA 2 3 1 2 1 3 1 3 1 NA NA NA 2 2 """" """" 2 ""U"" 3 13 2 0 1 3 4 2 3 2 3 1 3 3 0 1 0.101822221755134"
"""1464"" 202435 2 2 31516 1 ""C"" 2 17 """" 9 2 2 NA NA NA 3 3 1 2 1 2 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 2 2 3 1 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 9 9 3 9 2 2 2 2 2 NA NA NA 2 4 2 NA 2 1 NA 1 2 NA NA NA 1 2 3 3 2 2 1 2 2 1 57 1 NA 3 5 NA 1 NA 4 1 NA 2 4 NA 6 1 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 2 17 5 0 1 2 3 1 5 3 1 2 2 2 1 1 0.401293109674662"
"""1465"" 202437 2 2 31516 1 ""E"" 1 36 """" 9 1 2 NA NA NA 1 1 1 1 1 1 1 1 NA 1 1 NA NA 2 1 NA NA NA NA 1 1 2 1 2 1 1 3 3 2 2 3 2 3 3 1 1 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 3 1 1 1 NA 3 2 NA 2 NA NA NA 1 1 1 2 2 2 1 1 2 1 66 1 NA 8 NA NA 1 NA 2 1 NA 2 2 NA 9 1 2 NA 4 4 3 NA NA 1 1 """" """" 1 ""S"" 1 34 2 1 2 5 3 1 6 4 3 3 2 2 1 1 0.295280188267369"
"""1466"" 202438 2 2 31516 1 ""E"" 3 51 """" 7 1 2 NA NA NA 2 2 1 2 1 4 3 2 NA 1 3 NA NA 2 1 NA NA NA NA 2 2 4 4 4 4 2 NA NA 1 2 1 1 9 3 2 1 1 1 NA NA NA NA NA NA 2 1 2 2 2 NA NA NA 2 4 3 1 NA 2 3 NA 1 NA NA NA 3 NA NA NA 1 2 2 2 2 1 60 6 NA 3 5 NA 5 NA 3 1 NA 2 6 NA 99 3 3 9 3 1 NA NA NA 2 1 """" """" 1 ""U"" 3 51 5 0 9 3 3 1 5 3 1 1 3 3 0 1 1.31232876667913"
"""1467"" 202441 2 2 31516 1 ""E"" 3 37 """" 6 2 2 NA NA NA 1 2 1 2 1 1 1 NA 1 NA NA 1 NA 2 1 5 NA NA NA 1 1 1 1 4 1 1 2 4 1 1 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 1 4 3 NA 3 2 NA 1 2 NA NA NA 1 1 4 4 2 2 2 2 2 2 43 1 NA 8 5 NA 1 NA 3 13 NA 1 2 NA 99 1 1 NA 1 5 3 NA NA 1 4 """" """" 4 ""S"" 3 37 2 2 1 1 4 5 3 2 3 3 2 2 1 1 1.8478608686583"
"""1468"" 202443 2 2 31516 1 ""E"" 1 36 """" 4 2 2 NA NA NA 2 2 1 4 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 4 4 4 4 1 3 4 1 2 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 4 4 2 NA 2 3 NA 1 2 NA NA NA 1 1 4 4 2 2 2 2 2 1 53 1 NA 6 5 NA 1 NA 3 2 NA 2 1 NA 8 1 3 1 2 4 3 NA NA 1 1 """" """" 1 ""S"" 1 36 2 1 1 3 3 1 4 3 3 3 2 2 1 1 1.48962574598101"
"""1469"" 202457 2 2 31516 1 ""C"" 3 1 """" 6 1 2 NA NA NA 2 2 2 1 1 4 1 2 NA 2 2 NA NA 2 1 NA NA NA NA 1 2 3 9 2 1 1 2 4 2 3 1 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 4 1 1 NA 1 1 NA 2 NA NA NA 1 1 4 4 2 2 2 2 2 1 47 1 NA 6 3 NA 1 NA 2 1 NA 1 4 NA 9 1 3 1 3 3 2 NA NA 1 1 """" """" 1 ""S"" 3 12 4 1 1 3 4 1 4 2 3 2 2 2 1 1 1.09212104840046"
